r,t,y,SalvageValue
KENYA,BESS_TECH,2042,17.9829
KENYA,BESS_TECH,2043,72.0306
KENYA,BESS_TECH,2044,63.4221
KENYA,BESS_TECH,2045,72.0644
KENYA,BESS_TECH,2046,43.5648
KENYA,BESS_TECH,2047,99.6448
KENYA,BESS_TECH,2048,129.1804
KENYA,BESS_TECH,2050,30.5373
KENYA,PWRBIO001,2023,0.5948
KENYA,PWRBIO001,2026,9.4057
KENYA,PWRBIO001,2028,9.7437
KENYA,PWRBIO001,2030,69.98
KENYA,PWRBIO001,2031,31.0937
KENYA,PWRBIO001,2032,17.8103
KENYA,PWRBIO001,2033,5.2074
KENYA,PWRBIO001,2034,10.8925
KENYA,PWRBIO001,2035,0.5666
KENYA,PWRBIO001,2036,17.4053
KENYA,PWRBIO001,2037,17.954
KENYA,PWRBIO001,2038,18.4578
KENYA,PWRBIO001,2039,18.9204
KENYA,PWRBIO001,2040,19.3453
KENYA,PWRBIO001,2041,19.7354
KENYA,PWRBIO001,2042,20.0936
KENYA,PWRBIO001,2043,25.0119
KENYA,PWRBIO001,2044,20.7246
KENYA,PWRBIO001,2045,21.002
KENYA,PWRBIO001,2046,21.2567
KENYA,PWRBIO001,2047,21.4906
KENYA,PWRDIST,2019,707.3622
KENYA,PWRDIST,2020,79.566
KENYA,PWRDIST,2021,205.611
KENYA,PWRDIST,2022,157.0148
KENYA,PWRDIST,2023,138.1475
KENYA,PWRDIST,2024,168.9954
KENYA,PWRDIST,2025,187.7259
KENYA,PWRDIST,2026,468.1756
KENYA,PWRDIST,2027,532.5083
KENYA,PWRDIST,2028,592.0268
KENYA,PWRDIST,2029,641.7683
KENYA,PWRDIST,2030,663.5807
KENYA,PWRDIST,2031,738.432
KENYA,PWRDIST,2032,822.7943
KENYA,PWRDIST,2033,881.7552
KENYA,PWRDIST,2034,973.5742
KENYA,PWRDIST,2035,1057.7221
KENYA,PWRDIST,2036,1160.8264
KENYA,PWRDIST,2037,1302.1914
KENYA,PWRDIST,2038,1420.159
KENYA,PWRDIST,2039,1546.8033
KENYA,PWRDIST,2040,1688.5529
KENYA,PWRDIST,2041,1841.2383
KENYA,PWRDIST,2042,1828.3116
KENYA,PWRDIST,2043,1943.6259
KENYA,PWRDIST,2044,2097.7657
KENYA,PWRDIST,2045,2270.0371
KENYA,PWRDIST,2046,2453.2779
KENYA,PWRDIST,2047,2647.5436
KENYA,PWRDIST,2048,2864.8865
KENYA,PWRDIST,2049,3095.9099
KENYA,PWRDIST,2050,3340.7237
KENYA,PWRGEO013,2029,160.3016
KENYA,PWRGEO014,2029,136.1462
KENYA,PWRGEO015,2034,298.2685
KENYA,PWRGEO016,2036,346.0817
KENYA,PWRGEO017,2028,18.2328
KENYA,PWRGEO018,2039,168.7876
KENYA,PWRGEO019,2037,237.4509
KENYA,PWRGEO020,2040,272.0038
KENYA,PWRGEO021,2040,271.9247
KENYA,PWRGEO024,2031,135.47
KENYA,PWRGEO025,2040,271.9247
KENYA,PWRGEO026,2040,271.9247
KENYA,PWRGEO028,2028,21.4106
KENYA,PWRGEO029,2038,249.9346
KENYA,PWRGEO030,2039,261.3981
KENYA,PWRGEO031,2040,271.9247
KENYA,PWRGEO034,2040,99.4909
KENYA,PWRGEO035,2031,49.5509
KENYA,PWRGEO042,2039,91.2119
KENYA,PWRGEO049,2050,44.7513
KENYA,PWRGEO050,2050,44.7513
KENYA,PWRGEO051,2050,44.7513
KENYA,PWRGEO101,2027,5.7446
KENYA,PWRGEO101,2028,12.5293
KENYA,PWRGEO101,2029,20.508
KENYA,PWRGEO101,2030,29.8558
KENYA,PWRGEO101,2031,40.7723
KENYA,PWRGEO101,2032,53.4854
KENYA,PWRGEO101,2033,68.2542
KENYA,PWRGEO101,2034,85.3744
KENYA,PWRGEO101,2035,105.1826
KENYA,PWRGEO101,2036,128.0619
KENYA,PWRGEO101,2037,154.4491
KENYA,PWRGEO101,2038,184.841
KENYA,PWRGEO101,2039,219.8036
KENYA,PWRGEO101,2040,259.981
KENYA,PWRGEO101,2041,306.1062
KENYA,PWRGEO101,2042,359.0137
KENYA,PWRGEO101,2043,419.6532
KENYA,PWRGEO101,2044,489.1051
KENYA,PWRGEO101,2045,568.5991
